,pmid,Abstract
9,38396804,"Unlike other vitamins, vitamin D3 is synthesised in skin cells in the body. Vitamin D3 has been known as a bone-related hormone. Recently, however, it has been considered as an immune vitamin. Vitamin D3 deficiency influences the onset of a variety of diseases. Vitamin D3 regulates the production of proinflammatory cytokines such as tumour necrosis factor-α (TNF-α) through binding to vitamin D receptors (VDRs) in immune cells. Since blood levels of vitamin D3 (25-OH-D3) were low in coronavirus disease 2019 (COVID-19) patients, there has been growing interest in the importance of vitamin D3 to maintaining a healthy condition. On the other hand, phytochemicals are compounds derived from plants with over 7000 varieties and have various biological activities. They mainly have health-promoting effects and are classified as terpenoids, carotenoids, flavonoids, etc. Flavonoids are known as the anti-inflammatory compounds that control TNF-α production. Chronic inflammation is induced by the continuous production of TNF-α and is the fundamental cause of diseases like obesity, dyslipidaemia, diabetes, heart and brain diseases, autoimmune diseases, Alzheimer's disease, and cancer. In addition, the ageing process is induced by chronic inflammation. This review explains the cooperative effects of vitamin D3 and phytochemicals in the suppression of inflammatory responses, how it balances the natural immune response, and its link to anti-ageing effects. In addition, vitamin D3 and phytochemicals synergistically contribute to anti-ageing by working with ageing-related genes. Furthermore, prevention of ageing processes induced by the chronic inflammation requires the maintenance of healthy gut microbiota, which is related to daily dietary habits. In this regard, supplementation of vitamin D3 and phytochemicals plays an important role. Recently, the association of the prevention of the non-disease condition called ""ME-BYO"" with the maintenance of a healthy condition has been an attractive regimen, and the anti-ageing effect discussed here is important for a healthy and long life."
0,38456511,"Understanding the immune responses to SARS-CoV-2 vaccination is critical to optimizing vaccination strategies for individuals with autoimmune diseases, such as systemic lupus erythematosus (SLE). Here, we comprehensively analyzed innate and adaptive immune responses in 19 patients with SLE receiving a complete 2-dose Pfizer-BioNTech mRNA vaccine (BNT162b2) regimen compared with a control cohort of 56 healthy control (HC) volunteers. Patients with SLE exhibited impaired neutralizing antibody production and antigen-specific CD4+ and CD8+ T cell responses relative to HC. Interestingly, antibody responses were only altered in patients with SLE treated with immunosuppressive therapies, whereas impairment of antigen-specific CD4+ and CD8+ T cell numbers was independent of medication. Patients with SLE also displayed reduced levels of circulating CXC motif chemokine ligands, CXCL9, CXCL10, CXCL11, and IFN-γ after secondary vaccination as well as downregulation of gene expression pathways indicative of compromised innate immune responses. Single-cell RNA-Seq analysis reveals that patients with SLE showed reduced levels of a vaccine-inducible monocyte population characterized by overexpression of IFN-response transcription factors. Thus, although 2 doses of BNT162b2 induced relatively robust immune responses in patients with SLE, our data demonstrate impairment of both innate and adaptive immune responses relative to HC, highlighting a need for population-specific vaccination studies."
1,38455695,"INTRODUCTION: Large-scale clinical studies for COVID-19 vaccines have shown the infection-preventing effect and short-term adverse effects. Some rare illnesses such as eosinophilia can develop following COVID-19 vaccinations.
CASE DESCRIPTION: We report a case of 65-year-old man with unexplained abdominal pain that developed 2 weeks after COVID-19 mRNA vaccination. The patient had received a second dose of COVID-19 mRNA vaccine and revealed eosinophilia at the first visit to our hospital. Eosinophil infiltration was observed in the lamina propria of the duodenum by a step biopsy. Montelukast 10 mg was administered as the initial treatment of eosinophilic gastroenteritis (EGE), and the abdominal pain was improved.
DISCUSSION: The strong influence of COVID-19 vaccination on the development of EGE remains unproven. Reports of eosinophilia following COVID-19 vaccination have discussed that COVID-19 mRNA vaccination triggered an eosinophilic response.
CONCLUSION: This case presented EGE that developed following COVID-19 mRNA vaccination, which would be a rare adverse event.
LEARNING POINTS: Eosinophilia can develop following COVID-19 mRNA vaccination.To evaluate the relationships of these illnesses with vaccination, clinicians should collect information on vaccinations history and vaccination dates through interviews.It is clinically practical to know the differential diseases that may develop after a new vaccination."
2,38455062,"BACKGROUND: SARS-CoV-2 vaccination in rheumatoid arthritis (RA) patients treated with B cell-depleting drugs induced limited seroconversion but robust cellular response. We aimed to document specific T and B cell immunity in response to vaccine booster doses and breakthrough infection (BTI).
METHODS: We included 76 RA patients treated with rituximab who received up to four SARS-CoV-2 vaccine doses or three doses plus BTI, in addition to vaccinated healthy donors (HD) and control patients treated with tumor necrosis factor inhibitor (TNFi). We quantified anti-SARS-CoV-2 receptor-binding domain (RBD) Spike IgG, anti-nucleocapsid (NC) IgG, 92 circulating inflammatory proteins, Spike-binding B cells, and Spike-specific T cells along with comprehensive high-dimensional phenotyping and functional assays.
FINDINGS: The time since the last rituximab infusion, persistent inflammation, and age were associated with the anti-SARS-CoV-2 RBD IgG seroconversion. The vaccine-elicited serological response was accompanied by an incomplete induction of peripheral Spike-specific memory B cells but occurred independently of T cell responses. Vaccine- and BTI-elicited cellular immunity was similar between RA and HD 
INTERPRETATION: SARS-CoV-2 vaccination in RA can induce persistent effector T-cell responses that are reactivated by BTI. Paused rituximab medication allowed serological responses after a booster dose (D4), especially in RA with lower inflammation, enabling efficient humoral and cellular immunity after BTI, and contributed overall to the development of potential durable immunity."
3,38454762,"BACKGROUND: The unexpected detection of axillary lymphadenopathy (AxL) in cancer patients (pts) represents a real concern during the COVID-19 vaccination era. Benign reactions may take place after vaccine inoculation, which can mislead image interpretation in patients undergoing F-18-FDG, F-18-Choline, and Ga-68-DOTATOC PET/CT. They may also mimic loco-regional metastases or disease. We assessed PET/CT findings after COVID-19 first dose vaccination in cancer patients and the impact on their disease course management.
METHODS: We evaluated 333 patients undergoing PET/CT (257 F-18-FDG, 54 F-18-Choline, and 23 Ga-68 DOTATOC) scans after the first vaccination with mRNA vaccine (Pfizer-BioNTech) (study group; SG). The uptake index (SUVmax) of suspected AxL was defined as significant when the ratio was >1.5 as compared to the contralateral lymph nodes. Besides, co-registered CT (Co-CT) features of target lymph nodes were evaluated. Nodes with aggregate imaging positivity were further investigated.
RESULTS: Overall, the prevalence of apparently positive lymph nodes on PET scans was 17.1% during the vaccination period. 107 pts of the same setting, who had undergone PET/CT before the COVID-19 pandemic, represented the control group (CG). Only 3 patients of CG showed reactive lymph nodes with a prevalence of 2.8% (p < 0.001 as compared to the vaccination period). 84.2% of SG patients exhibited benign characteristics on co-CT images and only 9 pts needed thorough appraisal.
CONCLUSION: The correct interpretation of images is crucial to avoid unnecessary treatments and invasive procedures in vaccinated cancer pts. A detailed anamnestic interview and the analysis of lymph nodes' CT characteristics, after performing PET/CT, may help to clear any misleading diagnosis."
4,38454385,"BACKGROUND: The emergence of new SARS-CoV-2 variants and the waning of immunity raise concerns about vaccine effectiveness and protection against COVID-19. While antibody response has been shown to correlate with the risk of infection with the original variant and earlier variants of concern, the effectiveness of antibody-mediated protection against Omicron and the factors associated with protection remain uncertain.
METHODS: We evaluated antibody responses to SARS-CoV-2 spike (S) and nucleocapsid (N) antigens from Wuhan and variants of concern by Luminex and their role in preventing breakthrough infections 1 year after a third dose of mRNA vaccination, in a cohort of health care workers followed since the pandemic onset in Spain (N = 393). Data were analyzed in relation to COVID-19 history, demographic factors, comorbidities, vaccine doses, brand, and adverse events.
RESULTS: Higher levels of anti-S IgG and IgA to Wuhan, Delta, and Omicron were associated with protection against vaccine breakthroughs (IgG against Omicron S antigen HR, 0.06, 95%CI, 0.26-0.01). Previous SARS-CoV-2 infection was positively associated with antibody levels and protection against breakthroughs, and a longer time since last infection was associated with lower protection. In addition, priming with BNT162b2 followed by mRNA-1273 booster was associated with higher antibody responses than homologous mRNA-1273 vaccination.
CONCLUSIONS: Data show that IgG and IgA induced by vaccines against the original strain or by hybrid immunization are valid correlates of protection against Omicron BA.1 despite immune escape and support the benefits of heterologous vaccination regimens to enhance antibodies and the prioritization of booster vaccination in individuals without recent infections."
5,38454077,"There is currently limited data on the effectiveness of COVID-19 vaccines for children aged 6-11 years in Malaysia. This study aims to determine vaccine effectiveness (VE) against COVID-19-related hospitalization after receipt of one- and two-doses of BNT162b2 mRNA (Comirnaty-Pfizer/BioNTech) vaccine over a duration of almost 1 year in the predominantly Omicron period of BA.4/BA.5 and X.B.B sub lineages. This study linked administrative databases between May 2022 and March 2023 to evaluate real-world vaccine effectiveness (VE) for the BNT162b2 mRNA (Comirnaty-Pfizer/BioNTech) vaccine against COVID-19-related hospitalization in the Omicron pre-dominant period with BA.4/BA.5 and X.B.B sub lineages. During the Omicron-predominant period, the cumulative hospitalization rate was almost two times higher for unvaccinated children (9.6 per million population) compared to vaccinated children (6 per million population). The estimated VE against COVID-19 hospitalization for one dose of BNT162b2 was 27% (95% CI - 1%, 47%) and 38% (95% CI 27%, 48%) for two doses. The estimated VE against hospitalization remained stable when stratified by time. VE for the first 90 days was estimated to be 45% (95% CI 33, 55%), followed by 47% (95% CI 34, 56%) between 90 and 180 days, and 36% (95% CI 22, 45%) between 180 and 360 days. Recent infection within 6 months does not appear to modify the impact of vaccination on the risk of hospitalization, subject to the caveat of potential underestimation. In our pediatric population, BNT162b2 provided moderate-non-diminishing protection against COVID-19 hospitalization over almost 1 year of Omicron predominance."
6,38452271,"Lipid nanoparticles (LNPs), a nonviral nucleic acid delivery system, have shown vast potential for vaccine development and disease treatment. LNPs assist mRNA to cross physiological barriers such as cell membranes and endosomes/lysosomes, promoting the intracellular presentation of mRNA. However, the endosome escape efficiency and biosafety of currently commercialized LNPs are still unsatisfactory, resulting in underutilization of mRNA. Herein, we report that fluorinated modification of the 1,2-distearoyl-"
7,38452071,Strategy of using multiple mRNA shots to hone powerful antibodies hits a pothole.
8,38452010,"In the United States, most real-world estimates of COVID-19 vaccine effectiveness are based on data drawn from large health systems or sentinel populations. More data is needed to understand how the benefits of vaccination may vary across US populations with disparate risk profiles and policy contexts. We aimed to provide estimates of mRNA COVID-19 vaccine effectiveness against moderate and severe outcomes of COVID-19 based on state population-level data sources. Using statewide integrated administrative and clinical data and a test-negative case-control study design, we assessed mRNA COVID-19 vaccine effectiveness against SARS-CoV-2-related hospitalizations and emergency department visits among adults in South Carolina. We presented estimates of vaccine effectiveness at discrete time intervals for adults who received one, two or three doses of mRNA COVID-19 vaccine compared to adults who were unvaccinated. We also evaluated changes in vaccine effectiveness over time (waning) for the overall sample and in subgroups defined by age. We showed that while two doses of mRNA COVID-19 vaccine were initially highly effective, vaccine effectiveness waned as time elapsed since the second dose. Compared to protection against hospitalizations, protection against emergency department visits was found to wane more sharply. In all cases, a third dose of mRNA COVID-19 vaccine conferred significant gains in protection relative to waning protection after two doses. Further, over more than 120 days of follow-up, the data revealed relatively limited waning of vaccine effectiveness after a third dose of mRNA COVID-19 vaccine."
9,38450722,"Over the past year, an unexpected surge in human monkeypox (hMPX) cases has been observed. This outbreak differs from previous ones, displaying distinct epidemiological characteristics and transmission patterns, believed to be influenced by a newly emerging monkeypox virus (MPXV) lineage. Notably, this emerging MPXV lineage has exhibited several non-synonymous mutations, some of which are linked to immunomodulatory activities and antigenic characteristics that aid in host detection. However, specific treatments or vaccines for human monkeypox are currently lacking. Hence, we aim to develop a multi-epitope mRNA vaccine by using immunoinformatics approaches against the MPXV, particularly its emerging variants. Six proteins (A29L, A35R, B6R, M1R, H3L, and E8L) were chosen for epitope and mutation site identification. Seventeen top-performing epitopes and eight epitopes containing mutation sites were selected and combined with adjuvants, the PADRE sequence, and linkers for vaccine development. The molecular and physical properties of the designed vaccine (WLmpx) were favorable. Immunological characteristics of WLmpx were assessed through molecular docking, molecular dynamics (MD) simulations, and immune simulations. Finally, the vaccine sequence was utilized to formulate an mRNA-based vaccine. The informatics-based predicted results indicated that the designed vaccine exhibits significant potential in eliciting high-level humoral and cellular immune responses, but further validation through "
0,38451822,"It is hoped that artificial enzymes designed in laboratories can be efficient alternatives to chemical catalysts that have been used to synthesize organic molecules. However, the design of artificial enzymes is challenging and requires a detailed molecular-level analysis to understand the mechanism they promote in order to design efficient variants. In this study, we computationally investigate the mechanism of proficient Morita-Baylis-Hillman enzymes developed using a combination of computational design and directed evolution. The powerful transition path sampling method coupled with in-depth post-processing analysis has been successfully used to elucidate the different chemical pathways, transition states, protein dynamics, and free energy barriers of reactions catalyzed by such laboratory-optimized enzymes. This research provides an explanation for how different chemical modifications in an enzyme affect its catalytic activity in ways that are not predictable by static design algorithms."
1,38438341,"Directed evolution of computationally designed enzymes has provided new insights into the emergence of sophisticated catalytic sites in proteins. In this regard, we have recently shown that a histidine nucleophile and a flexible arginine can work in synergy to accelerate the Morita-Baylis-Hillman (MBH) reaction with unrivalled efficiency. Here, we show that replacing the catalytic histidine with a non-canonical N"
